method,mean_abs_shift_from_identity,max_abs_shift_from_identity,mean_signed_shift_from_identity,is_monotone_non_decreasing,curve_min,curve_max,dataset,dataset_name,run_id
beta,0.4489568584737904,0.996196152798826,-0.4442592548112116,False,0.003803847201174,0.0750235742872846,amazon_employee_access,Amazon_employee_access,20260318T110329Z
spline_fixed,0.4487129915665461,0.9532166939134744,-0.4455333414432576,False,0.0466063891355782,0.0617847026773886,amazon_employee_access,Amazon_employee_access,20260318T110329Z
isotonic,0.448254900168619,0.9214285714285716,-0.448254900168619,True,0.0,0.0785714285714285,amazon_employee_access,Amazon_employee_access,20260318T110329Z
platt,0.445823942068996,0.945210170548002,-0.4420412802520836,False,0.0547898294519981,0.0612397510365877,amazon_employee_access,Amazon_employee_access,20260318T110329Z
haar_gridsearch_best,0.4454363878420045,0.942020140372276,-0.4420201403729815,True,0.0579798596249067,0.057979859627724,amazon_employee_access,Amazon_employee_access,20260318T110329Z
beta,0.4262249794252522,0.6834226208609078,-0.4262249794252522,True,2.153438447664576e-28,0.9949621424074704,apsfailure,APSFailure,20260318T110634Z
platt,0.413176168319003,0.6459852898801032,-0.4131760031550248,True,8.266457110773186e-05,0.5673911285963459,apsfailure,APSFailure,20260318T110634Z
isotonic,0.409092056128562,0.7180919540229885,-0.409092056128562,True,0.0,0.9,apsfailure,APSFailure,20260318T110634Z
haar_gridsearch_best,0.40720947291365,0.696611209910662,-0.40720947291365,True,0.0,0.7682396815446,apsfailure,APSFailure,20260318T110634Z
spline_fixed,0.3906742633354525,0.6001031970815338,-0.390610838036017,False,0.0044182599049817,0.5275284303426009,apsfailure,APSFailure,20260318T110634Z
platt,0.3037153451147448,0.426000870248378,-0.3036160777071108,True,0.0092466912230416,0.6491311556388252,bank-marketing,bank-marketing,20260318T115747Z
beta,0.287863929102749,0.4626617199295416,-0.2878639269765392,True,1.0641680339212748e-06,0.9999996061370998,bank-marketing,bank-marketing,20260318T115747Z
spline_fixed,0.2847751535140457,0.4383867704339226,-0.2833685908218559,False,0.0352334142411913,0.6807080310007294,bank-marketing,bank-marketing,20260318T115747Z
haar_gridsearch_best,0.28271933311722,0.44121196921415,-0.2822192443278925,True,0.0218155843535785,0.7003340630039103,bank-marketing,bank-marketing,20260318T115747Z
isotonic,0.2797875453822004,0.4578536585365854,-0.2797875453822004,True,0.0,0.8181818181818182,bank-marketing,bank-marketing,20260318T115747Z
spline_fixed,0.2417364127316209,0.4733241262512339,-0.2377975932566672,False,0.0579006990085268,0.5342868112322334,bank_customer_churn,Bank_Customer_Churn,20260318T115555Z
haar_gridsearch_best,0.2369743006115806,0.4197160109958227,-0.2359269148390252,True,0.0316212066830473,0.5802839890041773,bank_customer_churn,Bank_Customer_Churn,20260318T115555Z
platt,0.2361484337619584,0.3356046096289161,-0.2346223540812312,True,0.0357274357007682,0.6643953903710839,bank_customer_churn,Bank_Customer_Churn,20260318T115555Z
beta,0.2301442716683912,0.3431725092867084,-0.2301442716357124,True,1.6355765427608012e-08,0.9985909907291216,bank_customer_churn,Bank_Customer_Churn,20260318T115555Z
isotonic,0.2247520675890805,0.3761951219512195,-0.2243503666064522,True,0.0,1.0,bank_customer_churn,Bank_Customer_Churn,20260318T115555Z
spline_fixed,0.0629091960521507,0.1484229684176832,-0.0244553975656048,False,0.1365654102522366,0.8557591870606819,bioresponse,Bioresponse,20260318T120659Z
isotonic,0.0580313481216775,0.1410000000000001,-0.0233520280509452,True,0.0,1.0,bioresponse,Bioresponse,20260318T120659Z
beta,0.0570822750076367,0.0924787010895437,-0.0206704194853749,True,0.0005047617417669,0.9999934435080696,bioresponse,Bioresponse,20260318T120659Z
platt,0.051554498875377,0.1476174073755778,-0.0192478080807679,True,0.1246403617166881,0.8523825926244222,bioresponse,Bioresponse,20260318T120659Z
haar_gridsearch_best,0.0505251838892657,0.0887765084826085,-0.0213292442058121,True,0.0887765084826085,0.9187465537691384,bioresponse,Bioresponse,20260318T120659Z
spline_fixed,0.2484723250700989,0.576472452035319,-0.2370092202925443,False,0.1034323193881266,0.4271730358393132,blood-transfusion-service-center,blood-transfusion-service-center,20260402T104615Z
platt,0.2451400101304422,0.5044220820504322,-0.2314318532803273,True,0.103453307914966,0.4955779179495678,blood-transfusion-service-center,blood-transfusion-service-center,20260402T104615Z
beta,0.182708409235478,0.2804547058641543,-0.1827084071182499,True,1.0596726342892952e-06,0.9999905671553188,blood-transfusion-service-center,blood-transfusion-service-center,20260402T104615Z
haar_gridsearch_best,0.1595835673080129,0.2962752717735386,-0.1595835673080129,True,0.0,0.8753178234120313,blood-transfusion-service-center,blood-transfusion-service-center,20260402T104615Z
isotonic,0.1559903501617726,0.3610769230769231,-0.1185599075722684,True,0.0,1.0,blood-transfusion-service-center,blood-transfusion-service-center,20260402T104615Z
platt,0.1884118706266916,0.3989944559468613,-0.1662900259170154,True,0.125383528037019,0.6010055440531387,churn,churn,20260318T130947Z
spline_fixed,0.1806978077351119,0.5077919855201307,-0.1632102527792783,False,0.1280656319050312,0.5161975588796233,churn,churn,20260318T130947Z
haar_gridsearch_best,0.1590604638357792,0.3261705088216932,-0.1525516397439987,True,0.0426672072228019,0.6782843977199803,churn,churn,20260318T130947Z
beta,0.1570680247733185,0.3228509124165047,-0.1538782414657062,True,1.501469523554915e-05,0.9813190062812366,churn,churn,20260318T130947Z
isotonic,0.1521970481090302,0.3748837209302326,-0.1455551856378497,True,0.0,1.0,churn,churn,20260318T130947Z
spline_fixed,0.4146084328229059,0.7932083550446373,-0.4142776676810427,False,0.0176459770477468,0.2076568257057796,coil2000_insurance_policies,coil2000_insurance_policies,20260318T131136Z
platt,0.4141971700450679,0.7534075247976129,-0.4139738349586668,True,0.0141422287618457,0.2465924752023872,coil2000_insurance_policies,coil2000_insurance_policies,20260318T131136Z
beta,0.4032922698870141,0.6925510349999864,-0.4032912592146087,True,3.165543876733403e-05,0.9979177366158436,coil2000_insurance_policies,coil2000_insurance_policies,20260318T131136Z
haar_gridsearch_best,0.4027633419130026,0.7014693778626667,-0.4027143391150501,True,0.0064831705150246,0.4193920360498608,coil2000_insurance_policies,coil2000_insurance_policies,20260318T131136Z
isotonic,0.398401270007734,0.7492771084337351,-0.3983852499917141,True,0.0,1.0,coil2000_insurance_policies,coil2000_insurance_policies,20260318T131136Z
spline_fixed,0.2483693039314859,0.5751677485987419,-0.2367630172076964,False,0.1036372542001679,0.4286908257832951,credit-card-clients-default,credit-card-clients-default,20260401T135604Z
platt,0.2446966295569107,0.5024516169566299,-0.2311618718534587,True,0.1027735968791679,0.4975483830433701,credit-card-clients-default,credit-card-clients-default,20260401T135604Z
beta,0.1813234014179163,0.2778288705866131,-0.1813233996616662,True,8.790031727559625e-07,0.9999926362044383,credit-card-clients-default,credit-card-clients-default,20260401T135604Z
isotonic,0.1570328579619826,0.3836376811594203,-0.1199938498382747,True,0.0,1.0,credit-card-clients-default,credit-card-clients-default,20260401T135604Z
haar_gridsearch_best,0.1568639223622478,0.2950522059194349,-0.1568639223622478,True,0.0,0.8888265757567075,credit-card-clients-default,credit-card-clients-default,20260401T135604Z
platt,0.1884118706266916,0.3989944559468613,-0.1662900259170154,True,0.125383528037019,0.6010055440531387,credit-g,credit-g,20260318T132302Z
spline_fixed,0.1806978077351119,0.5077919855201307,-0.1632102527792783,False,0.1280656319050312,0.5161975588796233,credit-g,credit-g,20260318T132302Z
haar_gridsearch_best,0.1590604638357792,0.3261705088216932,-0.1525516397439987,True,0.0426672072228019,0.6782843977199803,credit-g,credit-g,20260318T132302Z
beta,0.1570680247733185,0.3228509124165047,-0.1538782414657062,True,1.501469523554915e-05,0.9813190062812366,credit-g,credit-g,20260318T132302Z
isotonic,0.1521970481090302,0.3748837209302326,-0.1455551856378497,True,0.0,1.0,credit-g,credit-g,20260318T132302Z
platt,0.2024045933824862,0.2787240117353986,-0.2017983802761961,True,0.0227115337959111,0.7826693347228831,credit_card_clients_default,credit_card_clients_default,20260318T131833Z
haar_gridsearch_best,0.1781649783820506,0.3630976494936446,-0.1733069453188275,True,0.0689185373943879,0.7399921236044871,credit_card_clients_default,credit_card_clients_default,20260318T131833Z
isotonic,0.1757661531622009,0.3689119878603946,-0.1726138401497342,True,0.0,1.0,credit_card_clients_default,credit_card_clients_default,20260318T131833Z
spline_fixed,0.1723664624827212,0.3480947599676148,-0.1668637345129038,False,0.0696942506921225,0.7934229675088421,credit_card_clients_default,credit_card_clients_default,20260318T131833Z
beta,0.1710475037469672,0.3168201699573552,-0.1647848300789929,False,0.0634056120786568,0.999999999994325,credit_card_clients_default,credit_card_clients_default,20260318T131833Z
platt,0.0622828436675133,0.1347978761227534,-0.036616508837465,True,0.0255084196047564,0.95740255088375,customer_satisfaction_in_airline,customer_satisfaction_in_airline,20260318T132520Z
spline_fixed,0.0358348065141658,0.0912326772484082,-0.0293050085210404,False,0.0077029084717261,0.9667072440186634,customer_satisfaction_in_airline,customer_satisfaction_in_airline,20260318T132520Z
isotonic,0.0310658264677914,0.0966945010183299,-0.0287962870226731,True,0.0,1.0,customer_satisfaction_in_airline,customer_satisfaction_in_airline,20260318T132520Z
haar_gridsearch_best,0.0281583862206107,0.0518373575392411,-0.0281583862206107,True,0.0,0.9908389472374364,customer_satisfaction_in_airline,customer_satisfaction_in_airline,20260318T132520Z
beta,0.0259250706116862,0.0351358139607057,-0.0259250699943464,True,3.0897856044662774e-07,0.9999979547190548,customer_satisfaction_in_airline,customer_satisfaction_in_airline,20260318T132520Z
platt,0.1345140890887448,0.3078791022604853,-0.091532377444425,True,0.1624459723208235,0.6921208977395147,diabetes,diabetes,20260318T134334Z
spline_fixed,0.1215723262531802,0.3446309066935813,-0.087764940003509,False,0.1715771498385912,0.6561435068409918,diabetes,diabetes,20260318T134334Z
beta,0.1068333821469155,0.2089393828102166,-0.0800826852866583,True,0.0003332464620315,0.9993748801906646,diabetes,diabetes,20260318T134334Z
haar_gridsearch_best,0.0900173109112249,0.189302559923931,-0.0759864673502103,True,0.1047632484077764,0.831228501241402,diabetes,diabetes,20260318T134334Z
isotonic,0.0843882519757974,0.278,-0.0713166680041703,True,0.0,0.8571428571428571,diabetes,diabetes,20260318T134334Z
platt,0.3851186752299732,0.7131361083956068,-0.3843338636222494,True,0.0265471711175406,0.2868638916043932,diabetes130us,Diabetes130US,20260318T134413Z
spline_fixed,0.378819164943549,0.688120893344174,-0.3774724693058263,False,0.0360387569168239,0.3118791066558259,diabetes130us,Diabetes130US,20260318T134413Z
haar_gridsearch_best,0.3762985905225135,0.6841771146670651,-0.3760107562339516,True,0.0161776577110872,0.3158228853329349,diabetes130us,Diabetes130US,20260318T134413Z
isotonic,0.3670480423985913,0.6431574803149607,-0.3670480423985913,True,0.0,0.4285714285714285,diabetes130us,Diabetes130US,20260318T134413Z
beta,0.3623232435866998,0.6151620882971788,-0.3622497301751657,True,0.0002539931474077,0.9994949688971124,diabetes130us,Diabetes130US,20260318T134413Z
beta,0.1733305637169401,0.9999999248671378,-0.1733305637169401,False,1.5116754847135378e-18,0.5726271319782287,e-commereshippingdata,E-CommereShippingData,20260318T135620Z
haar_gridsearch_best,0.1520517558993827,0.4168819284747119,-0.1405195467690394,True,0.0,0.583118071525288,e-commereshippingdata,E-CommereShippingData,20260318T135620Z
spline_fixed,0.1503590181530961,0.5365109990407738,-0.1454080150323331,False,0.0102359081917753,0.5631410010908784,e-commereshippingdata,E-CommereShippingData,20260318T135620Z
isotonic,0.1451049018302102,0.3333333333333333,-0.1313196874162722,True,0.0,0.6666666666666666,e-commereshippingdata,E-CommereShippingData,20260318T135620Z
platt,0.0847884858600158,0.1319629059251096,-0.0801474578724399,True,0.0573340664622302,0.8680370940748904,e-commereshippingdata,E-CommereShippingData,20260318T135620Z
platt,0.1247550156903755,0.1675997853579575,-0.1218359927979377,True,0.0471589942222285,0.8338275956919612,fitness_club,Fitness_Club,20260318T135730Z
spline_fixed,0.1180553709649631,0.2239773430614211,-0.0944055482980862,False,0.0980376771927942,0.7981027620327108,fitness_club,Fitness_Club,20260318T135730Z
isotonic,0.1098095760602026,0.3055299145299146,-0.0962301152732656,True,0.0,1.0,fitness_club,Fitness_Club,20260318T135730Z
beta,0.1083364452946487,0.1870766514568344,-0.1069786303109486,True,7.798200104241105e-08,0.9999999911898886,fitness_club,Fitness_Club,20260318T135730Z
haar_gridsearch_best,0.1035249099157617,0.2424223607719294,-0.1017763383020283,True,0.0,0.9987588907261836,fitness_club,Fitness_Club,20260318T135730Z
beta,0.3429119351821596,0.4676518060616332,-0.3429119351821596,True,6.925572333494031e-22,0.6828127831222184,givemesomecredit,GiveMeSomeCredit,20260318T135818Z
platt,0.3233283836420972,0.4725834403026797,-0.3233187103051117,True,0.0025961503873605,0.6994348341252418,givemesomecredit,GiveMeSomeCredit,20260318T135818Z
isotonic,0.3209988393375164,0.4784746136865342,-0.3209988393375164,True,0.0,0.6025641025641025,givemesomecredit,GiveMeSomeCredit,20260318T135818Z
haar_gridsearch_best,0.3207356545253105,0.4670505033816489,-0.3207356545253105,True,0.0,0.5708595148440817,givemesomecredit,GiveMeSomeCredit,20260318T135818Z
spline_fixed,0.3202926129231452,0.4648574962525019,-0.3184920673611722,False,0.0152281900077534,0.6059603858512396,givemesomecredit,GiveMeSomeCredit,20260318T135818Z
isotonic,0.0613121533726551,0.2025714285714286,0.0068863975928222,True,0.0,1.0,hazelnut-spread-contaminant-detection,hazelnut-spread-contaminant-detection,20260318T141924Z
beta,0.050225908799462,0.09034324559026,-0.0158753113076107,True,0.0035529167064596,0.999999999999576,hazelnut-spread-contaminant-detection,hazelnut-spread-contaminant-detection,20260318T141924Z
haar_gridsearch_best,0.0483803380349432,0.1092934002247225,0.0025186008951698,True,0.0615113043151005,0.999494404125856,hazelnut-spread-contaminant-detection,hazelnut-spread-contaminant-detection,20260318T141924Z
platt,0.0395723603117915,0.0866377749752822,0.02530170222314,True,0.0635589931189879,0.9532255943108724,hazelnut-spread-contaminant-detection,hazelnut-spread-contaminant-detection,20260318T141924Z
spline_fixed,0.0330500386852807,0.1088288229120319,0.0061184599503565,False,0.0837947615708458,0.9733065134641928,hazelnut-spread-contaminant-detection,hazelnut-spread-contaminant-detection,20260318T141924Z
spline_fixed,0.052404554299834,0.1976703496010154,-0.0223361798850794,False,0.1641481698982816,0.8273695925040535,heloc,heloc,20260318T142110Z
isotonic,0.0456994942456156,0.1272148760330579,-0.0175179684673089,True,0.0930232558139534,1.0,heloc,heloc,20260318T142110Z
haar_gridsearch_best,0.0406737758408768,0.1144467506918828,-0.020995812591986,True,0.1144467506918828,0.8894543556620076,heloc,heloc,20260318T142110Z
platt,0.0376370892385357,0.1123087108946631,-0.0235884054388025,True,0.0889299687025237,0.8876912891053369,heloc,heloc,20260318T142110Z
beta,0.0323887656012973,0.0603150818835628,-0.017677676137282,True,0.0004202137886846,0.9999999839941084,heloc,heloc,20260318T142110Z
spline_fixed,0.187585642473143,0.3983476559632976,-0.1775709040062194,False,0.0735733478222469,0.6427143479603331,hr_analytics_job_change_of_data_scientists,HR_Analytics_Job_Change_of_Data_Scientists,20260318T142317Z
haar_gridsearch_best,0.183198206526864,0.3286168850373105,-0.1807547112902003,True,0.0484528025905619,0.6713831149626894,hr_analytics_job_change_of_data_scientists,HR_Analytics_Job_Change_of_Data_Scientists,20260318T142317Z
platt,0.1752863360050508,0.2383811312333622,-0.1741047882013893,True,0.0312154967624454,0.7976645688845617,hr_analytics_job_change_of_data_scientists,HR_Analytics_Job_Change_of_Data_Scientists,20260318T142317Z
isotonic,0.1725555661365301,0.3553333333333334,-0.1706448595591569,True,0.0,1.0,hr_analytics_job_change_of_data_scientists,HR_Analytics_Job_Change_of_Data_Scientists,20260318T142317Z
beta,0.1706990490904583,0.2419017235356251,-0.1706990490663962,True,1.2043109144830942e-08,0.999905489647108,hr_analytics_job_change_of_data_scientists,HR_Analytics_Job_Change_of_Data_Scientists,20260318T142317Z
spline_fixed,0.0728535175466756,0.2837879222399048,-0.0521782380828323,False,0.1388281199364056,0.7393117434857971,in_vehicle_coupon_recommendation,in_vehicle_coupon_recommendation,20260318T142616Z
platt,0.0600112272288077,0.1453325770046551,-0.0436374113440961,True,0.0969771603899444,0.8546674229953448,in_vehicle_coupon_recommendation,in_vehicle_coupon_recommendation,20260318T142616Z
isotonic,0.055191571419804,0.1794871794871795,-0.0537682132640035,True,0.0,0.8205128205128205,in_vehicle_coupon_recommendation,in_vehicle_coupon_recommendation,20260318T142616Z
haar_gridsearch_best,0.0530284129727231,0.1397396438223678,-0.048065472323113,True,0.0436086991760621,0.8602603561776322,in_vehicle_coupon_recommendation,in_vehicle_coupon_recommendation,20260318T142616Z
beta,0.0456690103897828,0.0816683173181239,-0.0456690100050888,True,1.9253935180234574e-07,0.9998926631232704,in_vehicle_coupon_recommendation,in_vehicle_coupon_recommendation,20260318T142616Z
spline_fixed,0.3518001621223883,0.7186512428094951,-0.3478399668796171,False,0.0405571460106903,0.2901202466965537,is-this-a-good-customer,Is-this-a-good-customer,20260318T142819Z
platt,0.3517685084699897,0.6501659745945834,-0.3501450377099264,True,0.0378266353049704,0.3498340254054167,is-this-a-good-customer,Is-this-a-good-customer,20260318T142819Z
haar_gridsearch_best,0.3384507907963496,0.6294460912447872,-0.3384507907963496,True,0.0,0.3705539087552127,is-this-a-good-customer,Is-this-a-good-customer,20260318T142819Z
beta,0.3225844544002144,0.5276419244345851,-0.3225839450429829,True,1.1427357357832347e-05,0.9996876715385168,is-this-a-good-customer,Is-this-a-good-customer,20260318T142819Z
isotonic,0.3188766939023756,0.5485714285714286,-0.3188766939023756,True,0.0,0.5454545454545454,is-this-a-good-customer,Is-this-a-good-customer,20260318T142819Z
spline_fixed,0.2365056817113521,0.430609567116418,-0.2292162796071749,False,0.0578484513777997,0.5705428505406697,jm1,jm1,20260318T143002Z
haar_gridsearch_best,0.234031970276936,0.3838958975260838,-0.234031970276936,True,0.0,0.8203803698167891,jm1,jm1,20260318T143002Z
beta,0.2316586142987352,0.2943949415467157,-0.2316586142987352,True,1.8559324576990322e-14,0.978476903477184,jm1,jm1,20260318T143002Z
isotonic,0.2315557483468442,0.3956666666666667,-0.231399904191,True,0.0,1.0,jm1,jm1,20260318T143002Z
platt,0.2291810025282304,0.3108214004339804,-0.2284982383889163,True,0.0241563680662968,0.7251749315900777,jm1,jm1,20260318T143002Z
spline_fixed,0.4541010186617235,0.9270766015968102,-0.4540607845151044,False,0.0053277835148157,0.0729430629976153,kddcup09_appetency,kddcup09_appetency,20260318T143344Z
beta,0.4534478433659184,0.8481137093496441,-0.4534196543163382,True,0.0004041243130643,0.8721860676559298,kddcup09_appetency,kddcup09_appetency,20260318T143344Z
platt,0.4529156175192388,0.8724625330996099,-0.452804714246552,True,0.0099133336070868,0.1275374669003902,kddcup09_appetency,kddcup09_appetency,20260318T143344Z
haar_gridsearch_best,0.4519592608672413,0.909875091077816,-0.4519130921508563,True,0.00604890677592,0.0901249089221841,kddcup09_appetency,kddcup09_appetency,20260318T143344Z
isotonic,0.4488490395221999,0.8666666666666667,-0.4488265981954107,True,0.0040579710144927,0.1333333333333333,kddcup09_appetency,kddcup09_appetency,20260318T143344Z
platt,0.2461536063178104,0.3590735093405411,-0.2446146428365372,True,0.0359492032281257,0.6409264906594588,marketing_campaign,Marketing_Campaign,20260318T154503Z
spline_fixed,0.2360444284714292,0.4590847949924254,-0.2353365376289772,False,0.0243315978059501,0.5409152050075746,marketing_campaign,Marketing_Campaign,20260318T154503Z
isotonic,0.2291601632427253,0.457904761904762,-0.2290702531528152,True,0.0,1.0,marketing_campaign,Marketing_Campaign,20260318T154503Z
haar_gridsearch_best,0.2267472920834329,0.3733496380006733,-0.2267472920834329,True,0.0,0.7491467852654426,marketing_campaign,Marketing_Campaign,20260318T154503Z
beta,0.2249574310981949,0.3461187990393966,-0.2249574309292924,True,8.45357367542604e-08,0.9979881172523304,marketing_campaign,Marketing_Campaign,20260318T154503Z
beta,0.1007906799482538,0.163528941163434,-0.1007451128751298,True,8.415983343469641e-06,0.9999992822498796,naticusdroid,NATICUSdroid,20260318T154552Z
isotonic,0.1003104763370262,0.2827407407407408,-0.1000342591530273,True,0.0,1.0,naticusdroid,NATICUSdroid,20260318T154552Z
spline_fixed,0.0983105871537602,0.1963248242977145,-0.0978575510672632,False,0.0101591899585309,0.9487776522183752,naticusdroid,NATICUSdroid,20260318T154552Z
haar_gridsearch_best,0.0966582628205821,0.2160781748359118,-0.0965835110433801,True,0.0059227321116648,0.970713578353016,naticusdroid,NATICUSdroid,20260318T154552Z
platt,0.0851127439810413,0.1808107280162466,-0.0846227749296271,True,0.0201511856407521,0.9358617585190108,naticusdroid,NATICUSdroid,20260318T154552Z
beta,0.2359607378324895,0.3109450470913467,-0.2359607378324893,True,8.084176591835317e-14,0.948954918280512,online_shoppers_intention,online_shoppers_intention,20260318T154658Z
platt,0.2306033599660826,0.3252678446655325,-0.2303900834256382,True,0.0135828202507324,0.7784587632805888,online_shoppers_intention,online_shoppers_intention,20260318T154658Z
isotonic,0.2293352733831261,0.3647931034482758,-0.2293352733831261,True,0.0,0.9285714285714286,online_shoppers_intention,online_shoppers_intention,20260318T154658Z
haar_gridsearch_best,0.228171079540007,0.3373532753539359,-0.2281461844145985,True,0.0044843997382042,0.8145885603155805,online_shoppers_intention,online_shoppers_intention,20260318T154658Z
spline_fixed,0.2207790066546855,0.3076839349755544,-0.2203746009339141,False,0.0094538690911267,0.7116885709329838,online_shoppers_intention,online_shoppers_intention,20260318T154658Z
beta,0.3749107283781298,0.6175047765896717,-0.3749107269056686,True,7.369668158174152e-07,0.999251842417612,polish_companies_bankruptcy,polish_companies_bankruptcy,20260318T154841Z
platt,0.3586887613024276,0.5261618922942066,-0.3586144200242512,True,0.0079797944428615,0.4973455289923649,polish_companies_bankruptcy,polish_companies_bankruptcy,20260318T154841Z
spline_fixed,0.3500625932792741,0.5357111627316034,-0.3485152056802847,False,0.0113034675873655,0.4642888372683967,polish_companies_bankruptcy,polish_companies_bankruptcy,20260318T154841Z
isotonic,0.3359954672897075,0.5771886792452832,-0.3359384920069257,True,0.0,1.0,polish_companies_bankruptcy,polish_companies_bankruptcy,20260318T154841Z
haar_gridsearch_best,0.3344860218972058,0.5065603401681065,-0.3343716879108006,True,0.0102021963814387,0.6093297596953418,polish_companies_bankruptcy,polish_companies_bankruptcy,20260318T154841Z
isotonic,0.135812416679896,0.3735,-0.1257669512729576,True,0.0,1.0,qsar-biodeg,qsar-biodeg,20260318T155009Z
spline_fixed,0.1242820609580292,0.2149386848286835,-0.1210678483416981,False,0.0534762259401045,0.8302584245122625,qsar-biodeg,qsar-biodeg,20260318T155009Z
beta,0.1157269071117238,0.1785088870952867,-0.1157269036716364,True,1.721763748293089e-06,0.9999974118392668,qsar-biodeg,qsar-biodeg,20260318T155009Z
platt,0.1157170006470157,0.1567568641171279,-0.1125663464061351,True,0.0486978870298169,0.843243135882872,qsar-biodeg,qsar-biodeg,20260318T155009Z
haar_gridsearch_best,0.1063028938659308,0.1998431994160555,-0.106265149295344,True,0.0056373735472901,0.90610113973116,qsar-biodeg,qsar-biodeg,20260318T155009Z
platt,0.4029010599227585,0.7234894392663875,-0.402617181929126,True,0.0159540889225445,0.2765105607336124,seismic-bumps,seismic-bumps,20260318T155053Z
spline_fixed,0.3964810786823083,0.7951368000417975,-0.3948776665814946,False,0.0210042393436496,0.2194273780573395,seismic-bumps,seismic-bumps,20260318T155053Z
beta,0.3863409004509174,0.6229905721907469,-0.3863409004509097,True,3.862914829268404e-12,0.926978947534546,seismic-bumps,seismic-bumps,20260318T155053Z
haar_gridsearch_best,0.3825991500822017,0.7285111399049873,-0.3824597740516531,True,0.0113124051801424,0.2714888600950127,seismic-bumps,seismic-bumps,20260318T155053Z
isotonic,0.373675442745021,0.6692857142857143,-0.373675442745021,True,0.0,0.5,seismic-bumps,seismic-bumps,20260318T155053Z
beta,0.4307191854288933,0.7768034562947108,-0.4306463836083398,True,0.0006831648403935,0.984473796971096,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,20260318T155146Z
platt,0.4167976847537401,0.7392040475869548,-0.4166722168921822,True,0.0105242914107098,0.2607959524130452,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,20260318T155146Z
spline_fixed,0.4155818536172788,0.8052502759123227,-0.4154539944536397,False,0.0077509362320987,0.1947497240876773,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,20260318T155146Z
isotonic,0.4143665443479143,0.786,-0.4143286320902966,True,0.0056625141562853,1.0,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,20260318T155146Z
haar_gridsearch_best,0.4048387255835212,0.7058080400584468,-0.4048186925775414,True,0.0037923248954821,0.2941919599415533,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,20260318T155146Z
