method,phase,subset_fraction,j_max,lam,spline_n_knots,n_samples,positive_rate,brier_score,brier_calibration_loss,brier_refinement_loss,ece,log_loss,calibration_loss,refinement_loss,dataset,dataset_name,domain,year,n_rows,n_features,dataset_positive_rate,run_id,haar_requested_j_max,haar_requested_lam,haar_attempts,haar_used_fallback
uncalibrated_logistic,full_test,,,,,6554,0.0578272810497406,0.2495026303277218,0.1953659889222692,0.0541185228347775,0.4412786775522597,0.6919987825375006,0.4736853122164552,0.2182713060181742,amazon_employee_access,Amazon_employee_access,business & marketing,2010,32769,9,0.05789007903811529,20260318T110329Z,,,,
spline_fixed,full_test,,,,5.0,6554,0.0578272810497406,0.054494239578868,2.0914552866118263e-06,0.0544802224795128,5.233456015859536e-05,0.2210470175154664,4.483707305907284e-05,0.2208923203110672,amazon_employee_access,Amazon_employee_access,business & marketing,2010,32769,9,0.05789007903811529,20260318T110329Z,,,,
platt,full_test,,,,,6554,0.0578272810497406,0.0544858504204941,1.2259329490269323e-08,0.0544832866161349,0.0001107218564253,0.22097015772376,1.1237081341724577e-07,0.2209468776314883,amazon_employee_access,Amazon_employee_access,business & marketing,2010,32769,9,0.05789007903811529,20260318T110329Z,,,,
isotonic,full_test,,,,,6554,0.0578272810497406,0.054167095372363,2.5900149180629275e-05,0.054172502599093,0.0050868514399085,0.2180648468594469,0.0002483687428468,0.2180732571035193,amazon_employee_access,Amazon_employee_access,business & marketing,2010,32769,9,0.05789007903811529,20260318T110329Z,,,,
beta,full_test,,,,,6554,0.0578272810497406,0.0544922404284121,6.526275721906792e-07,0.0544822658608133,0.0002461020025388,0.2210261624882396,1.4318083531214608e-05,0.2209286975782479,amazon_employee_access,Amazon_employee_access,business & marketing,2010,32769,9,0.05789007903811529,20260318T110329Z,,,,
haar_gridsearch_best,full_test,,1.0,1.0,,6554,0.0578272810497406,0.0544833098963559,2.328022245444705e-08,0.0544832866161349,0.000152578577967,0.2209470909249752,2.1329349990116046e-07,0.2209468776314883,amazon_employee_access,Amazon_employee_access,business & marketing,2010,32769,9,0.05789007903811529,20260318T110329Z,,,,
uncalibrated_logistic,full_test,,,,,15200,0.0180921052631578,0.2202909847646564,0.2088567874137531,0.0114822980736802,0.4393877022312023,0.6311709351126795,0.5786184322047704,0.0518064247612295,apsfailure,APSFailure,industry & manufacturing,2016,76000,170,0.018092105263157895,20260318T110634Z,,,,
spline_fixed,full_test,,,,5.0,15200,0.0180921052631578,0.0120898206791442,0.0007177069262801,0.0114341215777282,0.0047067543987068,0.0539798993687844,0.0017161380037969,0.0543547009849845,apsfailure,APSFailure,industry & manufacturing,2016,76000,170,0.018092105263157895,20260318T110634Z,,,,
platt,full_test,,,,,15200,0.0180921052631578,0.0118681107703879,0.0006263633368214,0.0112733740725227,0.0049787898654521,0.0537674368780745,0.0018391476567766,0.0541320519986942,apsfailure,APSFailure,industry & manufacturing,2016,76000,170,0.018092105263157895,20260318T110634Z,,,,
isotonic,full_test,,,,,15200,0.0180921052631578,0.0113001889001873,8.711066416127655e-05,0.0113026781949739,0.0020413705180971,0.0492692267663662,0.0003037354952997,0.0536554920602603,apsfailure,APSFailure,industry & manufacturing,2016,76000,170,0.018092105263157895,20260318T110634Z,,,,
beta,full_test,,,,,15200,0.0180921052631578,0.0114300982360284,0.0002699137052943,0.0112075991524917,0.003810208980157,0.0530112116432813,0.0009561287704157,0.0543042144166956,apsfailure,APSFailure,industry & manufacturing,2016,76000,170,0.018092105263157895,20260318T110634Z,,,,
haar_gridsearch_best,full_test,,4.0,1e-06,,15200,0.0180921052631578,0.011380867793087,0.0001793739392679,0.0112988818935353,0.0023934495577802,0.0514065232298079,0.0005568879379836,0.0539612457447275,apsfailure,APSFailure,industry & manufacturing,2016,76000,170,0.018092105263157895,20260318T110634Z,,,,
uncalibrated_logistic,full_test,,,,,9043,0.1169965719340926,0.1979838571896,0.1109468318428915,0.0869695863469022,0.3165137666537809,0.581579545931864,0.2770768517178379,0.3041641671135074,bank-marketing,bank-marketing,finance,2012,45211,13,0.11698480458295547,20260318T115747Z,,,,
spline_fixed,full_test,,,,5.0,9043,0.1169965719340926,0.087461006920977,0.0007758260533915,0.0868213865319477,0.0124785893165918,0.305657750576343,0.001991537828544,0.304375762845078,bank-marketing,bank-marketing,finance,2012,45211,13,0.11698480458295547,20260318T115747Z,,,,
platt,full_test,,,,,9043,0.1169965719340926,0.0880627441859822,0.0011335091137983,0.0871403837680268,0.0160418156212709,0.3071791030732049,0.0028956625784909,0.3053999137441914,bank-marketing,bank-marketing,finance,2012,45211,13,0.11698480458295547,20260318T115747Z,,,,
isotonic,full_test,,,,,9043,0.1169965719340926,0.087268507924291,0.0003450651422012,0.087166360569492,0.0074080380686752,0.3086081276539773,0.0008702850704586,0.3058744085683361,bank-marketing,bank-marketing,finance,2012,45211,13,0.11698480458295547,20260318T115747Z,,,,
beta,full_test,,,,,9043,0.1169965719340926,0.0875318295755809,0.0006063525152178,0.0870946128231173,0.0131947824011264,0.3059792122051459,0.0016010014490562,0.3052250969154303,bank-marketing,bank-marketing,finance,2012,45211,13,0.11698480458295547,20260318T115747Z,,,,
haar_gridsearch_best,full_test,,2.0,0.01,,9043,0.1169965719340926,0.0873629208761493,0.0006102945115547,0.0870117495658981,0.010490003967809,0.3053402225968357,0.001482113053906,0.3051646087191599,bank-marketing,bank-marketing,finance,2012,45211,13,0.11698480458295547,20260318T115747Z,,,,
uncalibrated_logistic,full_test,,,,,2000,0.2035,0.1979188712019072,0.0608142138067148,0.137113140002899,0.2298169389801803,0.5846516568619572,0.1543694155904238,0.4304634009772342,bank_customer_churn,Bank_Customer_Churn,finance,2020,10000,10,0.2037,20260318T115555Z,,,,
spline_fixed,full_test,,,,5.0,2000,0.2035,0.138746374700015,0.0012455253527953,0.1377865331155798,0.024361254264722,0.4348400395496019,0.0028648985937417,0.4333598622056484,bank_customer_churn,Bank_Customer_Churn,finance,2020,10000,10,0.2037,20260318T115555Z,,,,
platt,full_test,,,,,2000,0.2035,0.1387861776123403,0.001339079338379,0.1377419924586093,0.0271314810311102,0.4351611068492843,0.0033496857695888,0.433326488205923,bank_customer_churn,Bank_Customer_Churn,finance,2020,10000,10,0.2037,20260318T115555Z,,,,
isotonic,full_test,,,,,2000,0.2035,0.1389551806068654,0.0011007193193802,0.1378822092072928,0.0172564937892021,0.4512817641015548,0.0028558967783622,0.433425420599932,bank_customer_churn,Bank_Customer_Churn,finance,2020,10000,10,0.2037,20260318T115555Z,,,,
beta,full_test,,,,,2000,0.2035,0.1388492760465342,0.0018879447406953,0.137353437608709,0.0270347780584232,0.4355939478739491,0.0046818245161291,0.4321771012859265,bank_customer_churn,Bank_Customer_Churn,finance,2020,10000,10,0.2037,20260318T115555Z,,,,
haar_gridsearch_best,full_test,,1.0,1e-06,,2000,0.2035,0.1387647091426631,0.001655183643715,0.1369268492467115,0.0266058113526386,0.434689469927591,0.0036512626889229,0.4311961546414637,bank_customer_churn,Bank_Customer_Churn,finance,2020,10000,10,0.2037,20260318T115555Z,,,,
uncalibrated_logistic,full_test,,,,,751,0.4580559254327563,0.1654695504426904,0.0062629913087834,0.1594250688898757,0.0665932621379176,0.5108972144799836,0.0220721469631047,0.4880277936718786,bioresponse,Bioresponse,biology & life sciences,2012,3751,1776,0.4577446014396161,20260318T120659Z,,,,
spline_fixed,full_test,,,,5.0,751,0.4580559254327563,0.1643540137596019,0.0038624963990335,0.1603779493641821,0.0551114803801075,0.503629684931378,0.0120852012018113,0.4915712891150937,bioresponse,Bioresponse,biology & life sciences,2012,3751,1776,0.4577446014396161,20260318T120659Z,,,,
platt,full_test,,,,,751,0.4580559254327563,0.1646343926224016,0.0048871696743626,0.1603904954725302,0.0619635988275748,0.5048915645985638,0.0164156895736145,0.4898536085405999,bioresponse,Bioresponse,biology & life sciences,2012,3751,1776,0.4577446014396161,20260318T120659Z,,,,
isotonic,full_test,,,,,751,0.4580559254327563,0.1654174837551899,0.0018505173614991,0.1636099693934682,0.0277563389696812,0.504425377824577,0.0055461884724704,0.4990879815569016,bioresponse,Bioresponse,biology & life sciences,2012,3751,1776,0.4577446014396161,20260318T120659Z,,,,
beta,full_test,,,,,751,0.4580559254327563,0.1636400208131144,0.0042704654972046,0.1607496364638109,0.0518125350481669,0.5009655710242741,0.0118526455100525,0.4927000742818627,bioresponse,Bioresponse,biology & life sciences,2012,3751,1776,0.4577446014396161,20260318T120659Z,,,,
haar_gridsearch_best,full_test,,1.0,0.0719685673001152,,751,0.4580559254327563,0.1633846964529136,0.003863095054153,0.1598967727320606,0.0502694849631229,0.4997653779982338,0.0117806640752109,0.489093111621674,bioresponse,Bioresponse,biology & life sciences,2012,3751,1776,0.4577446014396161,20260318T120659Z,,,,
uncalibrated_logistic,full_test,,,,,150,0.24,0.1932778286241903,0.0583672146097083,0.1348464674758792,0.2139720295877202,0.5627487249428145,0.1580175745036114,0.4050198701944859,blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008,748,4,0.23796791443850268,20260318T122410Z,,,,
spline_fixed,full_test,,,,5.0,150,0.24,0.1578971944543502,0.0170144261359614,0.140994708994709,0.0886194024162918,0.4827833155611279,0.0465185430876443,0.4362602705952239,blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008,748,4,0.23796791443850268,20260318T122410Z,,,,
platt,full_test,,,,,150,0.24,0.1594698610251029,0.0155710035632482,0.1458531468531468,0.1018623260904306,0.4886152861018724,0.0477488776273567,0.4460625378487919,blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008,748,4,0.23796791443850268,20260318T122410Z,,,,
isotonic,full_test,,,,,150,0.24,0.148857929592785,0.0047229876134681,0.1444749906983745,0.0475247087892043,0.8691132436403325,0.4305445427792316,0.4395174082033585,blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008,748,4,0.23796791443850268,20260318T122410Z,,,,
beta,full_test,,,,,150,0.24,0.1482373044820234,0.0167002911515513,0.131772101592108,0.0747885998597878,0.4574680144426431,0.0536306809827431,0.4052804905059968,blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008,748,4,0.23796791443850268,20260318T122410Z,,,,
haar_gridsearch_best,full_test,,1.0,0.0013257113655901,,150,0.24,0.1481437578332949,0.0187877617350468,0.1296809616634177,0.080426664188552,0.4675097852681116,0.0770121068081045,0.4007371542257643,blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008,748,4,0.23796791443850268,20260318T122410Z,,,,
uncalibrated_logistic,full_test,,,,,200,0.3,0.190026339839416,0.0326045324050469,0.1574608585858585,0.1389264534478615,0.5678654499390623,0.0965018966217091,0.4711436487346112,churn,churn,business & marketing,2005,1000,20,0.3,20260318T130947Z,,,,
spline_fixed,full_test,,,,5.0,200,0.3,0.1721494431203893,0.0066455578110638,0.1659226793737663,0.0726739699617852,0.5177859291213501,0.0181677207183453,0.5007378561223976,churn,churn,business & marketing,2005,1000,20,0.3,20260318T130947Z,,,,
platt,full_test,,,,,200,0.3,0.172883278386434,0.0076341331796257,0.1664755772033468,0.0697691659930759,0.520296104386257,0.0215375059872414,0.5014765759445639,churn,churn,business & marketing,2005,1000,20,0.3,20260318T130947Z,,,,
isotonic,full_test,,,,,200,0.3,0.169960259924473,0.0029066953151262,0.1670039619790568,0.0361344699305,0.820939524670748,0.0480377994564308,0.5035424215234034,churn,churn,business & marketing,2005,1000,20,0.3,20260318T130947Z,,,,
beta,full_test,,,,,200,0.3,0.1700270206563992,0.0124341559222575,0.1571360645933014,0.0926648400268152,0.5100525303954986,0.0488319423088833,0.4600521186891447,churn,churn,business & marketing,2005,1000,20,0.3,20260318T130947Z,,,,
haar_gridsearch_best,full_test,,3.0,0.0008685113737513,,200,0.3,0.1689077690158214,0.0046140442787689,0.1645560695920837,0.0486534938418521,0.5094989772479818,0.0153659186673108,0.4944596600817373,churn,churn,business & marketing,2005,1000,20,0.3,20260318T130947Z,3.0,0.0008685113737513,1.0,False
uncalibrated_logistic,full_test,,,,,1965,0.0595419847328244,0.1949427650644261,0.1410737844244023,0.0539809544668104,0.3027636226406493,0.5718108039669707,0.3609861407693248,0.2086055367108391,coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000,9822,85,0.059661983302789656,20260318T131136Z,,,,
spline_fixed,full_test,,,,5.0,1965,0.0595419847328244,0.0545890317859954,0.0001823194157338,0.0544131397825298,0.0115366476372904,0.2154231878666198,0.0017025704427205,0.2148408970046251,coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000,9822,85,0.059661983302789656,20260318T131136Z,,,,
platt,full_test,,,,,1965,0.0595419847328244,0.0546129818623168,0.0001661778836883,0.0545908558818851,0.0121989339088755,0.2161018082073133,0.001858036940418,0.2159583731707072,coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000,9822,85,0.059661983302789656,20260318T131136Z,,,,
isotonic,full_test,,,,,1965,0.0595419847328244,0.0550345957400517,0.0006614777550898,0.0545586128251658,0.0177708516373637,0.2162777945956574,0.0040089777133432,0.2158388927644939,coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000,9822,85,0.059661983302789656,20260318T131136Z,,,,
beta,full_test,,,,,1965,0.0595419847328244,0.0551642955260656,0.0014980500048827,0.0540379151697795,0.0149829294238419,0.2164290712359092,0.0057983400802908,0.2143753031218142,coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000,9822,85,0.059661983302789656,20260318T131136Z,,,,
haar_gridsearch_best,full_test,,3.0,0.000212095088792,,1965,0.0595419847328244,0.0549652228500486,0.0008992879003433,0.054201836506624,0.0156840378414689,0.2168049053773201,0.0051800821765996,0.2135413084221973,coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000,9822,85,0.059661983302789656,20260318T131136Z,3.0,0.000212095088792,1.0,False
uncalibrated_logistic,full_test,,,,,200,0.3,0.190026339839416,0.0326045324050469,0.1574608585858585,0.1389264534478615,0.5678654499390623,0.0965018966217091,0.4711436487346112,credit-g,credit-g,finance,1994,1000,20,0.3,20260318T132302Z,,,,
spline_fixed,full_test,,,,5.0,200,0.3,0.1721494431203893,0.0066455578110638,0.1659226793737663,0.0726739699617852,0.5177859291213501,0.0181677207183453,0.5007378561223976,credit-g,credit-g,finance,1994,1000,20,0.3,20260318T132302Z,,,,
platt,full_test,,,,,200,0.3,0.172883278386434,0.0076341331796257,0.1664755772033468,0.0697691659930759,0.520296104386257,0.0215375059872414,0.5014765759445639,credit-g,credit-g,finance,1994,1000,20,0.3,20260318T132302Z,,,,
isotonic,full_test,,,,,200,0.3,0.169960259924473,0.0029066953151262,0.1670039619790568,0.0361344699305,0.820939524670748,0.0480377994564308,0.5035424215234034,credit-g,credit-g,finance,1994,1000,20,0.3,20260318T132302Z,,,,
beta,full_test,,,,,200,0.3,0.1700270206563992,0.0124341559222575,0.1571360645933014,0.0926648400268152,0.5100525303954986,0.0488319423088833,0.4600521186891447,credit-g,credit-g,finance,1994,1000,20,0.3,20260318T132302Z,,,,
haar_gridsearch_best,full_test,,3.0,0.0008685113737513,,200,0.3,0.1689077690158214,0.0046140442787689,0.1645560695920837,0.0486534938418521,0.5094989772479818,0.0153659186673108,0.4944596600817373,credit-g,credit-g,finance,1994,1000,20,0.3,20260318T132302Z,3.0,0.0008685113737513,1.0,False
uncalibrated_logistic,full_test,,,,,6000,0.2211666666666666,0.2078187499209872,0.0669566533928756,0.1409147304381426,0.238787050932034,0.6061064180816951,0.1558849948604257,0.4499317936894849,credit_card_clients_default,credit_card_clients_default,finance,2009,30000,23,0.2212,20260318T131833Z,,,,
spline_fixed,full_test,,,,5.0,6000,0.2211666666666666,0.1415769442434045,0.0005480970374914,0.1410626804046825,0.0112311931652226,0.4523731845341229,0.0013749325201662,0.4509945322479683,credit_card_clients_default,credit_card_clients_default,finance,2009,30000,23,0.2212,20260318T131833Z,,,,
platt,full_test,,,,,6000,0.2211666666666666,0.1448123372518037,0.0039465583253894,0.1411097943527268,0.0527900721463288,0.4625724533866904,0.0117188990964112,0.4510018655545906,credit_card_clients_default,credit_card_clients_default,finance,2009,30000,23,0.2212,20260318T131833Z,,,,
isotonic,full_test,,,,,6000,0.2211666666666666,0.1415847123829291,0.0006425132056977,0.1410451693860791,0.0129743222763002,0.4521144052086092,0.0016253849245063,0.4508322039411563,credit_card_clients_default,credit_card_clients_default,finance,2009,30000,23,0.2212,20260318T131833Z,,,,
beta,full_test,,,,,6000,0.2211666666666666,0.1434121593900013,0.003038610277314,0.1405087237433385,0.0351770445528301,0.4605307373588543,0.0108447114418742,0.4495898717741806,credit_card_clients_default,credit_card_clients_default,finance,2009,30000,23,0.2212,20260318T131833Z,,,,
haar_gridsearch_best,full_test,,5.0,9.540954763499944e-05,,6000,0.2211666666666666,0.1413685618120869,0.000626542572198,0.1409686622759816,0.0112473779436067,0.4515169938852532,0.0014136970935613,0.4508008318491768,credit_card_clients_default,credit_card_clients_default,finance,2009,30000,23,0.2212,20260318T131833Z,5.0,9.540954763499944e-05,1.0,False
uncalibrated_logistic,full_test,,,,,25976,0.4526870957807206,0.0712531229538223,0.0004616959131167,0.0708797794066898,0.0142708154238185,0.2387208625543899,0.0022028646727739,0.2371267029218322,customer_satisfaction_in_airline,customer_satisfaction_in_airline,business & marketing,2023,129880,21,0.4526716969510317,20260318T132520Z,,,,
spline_fixed,full_test,,,,5.0,25976,0.4526870957807206,0.0714518344492395,0.0005945757063562,0.0710272357134497,0.0155585298505225,0.2390519307575756,0.002061796524695,0.2391200917143148,customer_satisfaction_in_airline,customer_satisfaction_in_airline,business & marketing,2023,129880,21,0.4526716969510317,20260318T132520Z,,,,
platt,full_test,,,,,25976,0.4526870957807206,0.0726977958140839,0.0017932797725758,0.0711759972329789,0.0311701344256767,0.2485694302552899,0.0101866185548745,0.2408135712686588,customer_satisfaction_in_airline,customer_satisfaction_in_airline,business & marketing,2023,129880,21,0.4526716969510317,20260318T132520Z,,,,
isotonic,full_test,,,,,25976,0.4526870957807206,0.0710484280782938,0.0002683269062648,0.07092424082276,0.0074041520703866,0.2386700341146856,0.0006802254663583,0.237876884630647,customer_satisfaction_in_airline,customer_satisfaction_in_airline,business & marketing,2023,129880,21,0.4526716969510317,20260318T132520Z,,,,
beta,full_test,,,,,25976,0.4526870957807206,0.0709406111271113,0.000200214171501,0.0708679170315673,0.0082984026381612,0.2372331359712685,0.0007159103363246,0.2374512373642549,customer_satisfaction_in_airline,customer_satisfaction_in_airline,business & marketing,2023,129880,21,0.4526716969510317,20260318T132520Z,,,,
haar_gridsearch_best,full_test,,1.0,0.4094915062380424,,25976,0.4526870957807206,0.0709816262207922,0.0002172839784501,0.0709309047844393,0.0068251862918651,0.252854428673098,0.00068448803452,0.2374292140009719,customer_satisfaction_in_airline,customer_satisfaction_in_airline,business & marketing,2023,129880,21,0.4526716969510317,20260318T132520Z,1.0,0.4094915062380424,1.0,False
uncalibrated_logistic,full_test,,,,,154,0.3506493506493506,0.1404743424165931,0.0278298131195378,0.1117321170892599,0.1177661401929901,0.4469149205243339,0.1131594968769337,0.3339983220854442,diabetes,diabetes,medical & healthcare,1988,768,8,0.3489583333333333,20260318T134334Z,,,,
spline_fixed,full_test,,,,5.0,154,0.3506493506493506,0.1568919594949518,0.029404565690194,0.1275245884593116,0.1448728557687126,0.4879975363352558,0.0937758933905567,0.394195197213632,diabetes,diabetes,medical & healthcare,1988,768,8,0.3489583333333333,20260318T134334Z,,,,
platt,full_test,,,,,154,0.3506493506493506,0.1604594546756992,0.0370776572901253,0.1239990667863491,0.1629799233628922,0.4973917402173511,0.1100935777142082,0.3890489034370369,diabetes,diabetes,medical & healthcare,1988,768,8,0.3489583333333333,20260318T134334Z,,,,
isotonic,full_test,,,,,154,0.3506493506493506,0.1512687368235158,0.0068939800306332,0.1452365706773277,0.063660679629004,0.4595357143013431,0.029283909491728,0.4322770376853848,diabetes,diabetes,medical & healthcare,1988,768,8,0.3489583333333333,20260318T134334Z,,,,
beta,full_test,,,,,154,0.3506493506493506,0.154450566165156,0.0413342102031866,0.1136224255542437,0.1613099251687988,0.480690774030506,0.1335215669705636,0.3483816762846981,diabetes,diabetes,medical & healthcare,1988,768,8,0.3489583333333333,20260318T134334Z,,,,
haar_gridsearch_best,full_test,,1.0,1e-06,,154,0.3506493506493506,0.1469180046723145,0.0221886199134595,0.1255103638824569,0.123062131040611,0.4579421144206806,0.0765896332399088,0.3830093548838845,diabetes,diabetes,medical & healthcare,1988,768,8,0.3489583333333333,20260318T134334Z,1.0,1e-06,1.0,False
uncalibrated_logistic,full_test,,,,,14304,0.0880173378076062,0.216599932083839,0.1388406374004803,0.0776744239702231,0.3450387408245731,0.6225619938758868,0.3380630710120815,0.2841640129446478,diabetes130us,Diabetes130US,medical & healthcare,2014,71518,47,0.08799183422355211,20260318T134413Z,,,,
spline_fixed,full_test,,,,5.0,14304,0.0880173378076062,0.0779919891768841,0.0001264030080455,0.0780649051136456,0.0057868165570449,0.2857941032573587,0.0004002187731637,0.2867387724178028,diabetes130us,Diabetes130US,medical & healthcare,2014,71518,47,0.08799183422355211,20260318T134413Z,,,,
platt,full_test,,,,,14304,0.0880173378076062,0.0780098026964843,0.0001712590201611,0.0779613232381409,0.0067270326818231,0.2856317553843815,0.0005866458414213,0.2860262545600103,diabetes130us,Diabetes130US,medical & healthcare,2014,71518,47,0.08799183422355211,20260318T134413Z,,,,
isotonic,full_test,,,,,14304,0.0880173378076062,0.0779155740018713,0.0001804497246504,0.077949481124551,0.0058092321101914,0.285212896186718,0.0006041630776632,0.2863239648322037,diabetes130us,Diabetes130US,medical & healthcare,2014,71518,47,0.08799183422355211,20260318T134413Z,,,,
beta,full_test,,,,,14304,0.0880173378076062,0.0778888980660658,0.0002532921117551,0.0778109881125959,0.0077082310922154,0.2851856479955933,0.0008469333399552,0.2858042055535375,diabetes130us,Diabetes130US,medical & healthcare,2014,71518,47,0.08799183422355211,20260318T134413Z,,,,
haar_gridsearch_best,full_test,,4.0,0.0255954792269953,,14304,0.0880173378076062,0.077970312748021,9.60684750572108e-05,0.0780824424246578,0.0051981027983616,0.2854547508807303,0.0003063461273264,0.2868676902110296,diabetes130us,Diabetes130US,medical & healthcare,2014,71518,47,0.08799183422355211,20260318T134413Z,4.0,0.0255954792269953,1.0,False
uncalibrated_logistic,full_test,,,,,2200,0.4031818181818182,0.2006512724435768,0.01344060127038,0.1872128835584952,0.0873784534880577,0.5628744499755016,0.0412377932984574,0.521601841215256,e-commereshippingdata,E-CommereShippingData,business & marketing,2021,10999,10,0.40330939176288755,20260318T135620Z,,,,
spline_fixed,full_test,,,,5.0,2200,0.4031818181818182,0.1889807395522604,0.0011686699642922,0.1880162093522298,0.020744538199196,0.5305012500532075,0.007848531605146,0.5230775324833927,e-commereshippingdata,E-CommereShippingData,business & marketing,2021,10999,10,0.40330939176288755,20260318T135620Z,,,,
platt,full_test,,,,,2200,0.4031818181818182,0.1971931810892085,0.008376637002494,0.1884124514646577,0.0830626560335554,0.5589710478665594,0.0332519440323938,0.5249132528656294,e-commereshippingdata,E-CommereShippingData,business & marketing,2021,10999,10,0.40330939176288755,20260318T135620Z,,,,
isotonic,full_test,,,,,2200,0.4031818181818182,0.1892700270765306,0.0017165830784162,0.1878726838149268,0.0140994051095106,0.5405562986931671,0.0169885942790814,0.5242079278403775,e-commereshippingdata,E-CommereShippingData,business & marketing,2021,10999,10,0.40330939176288755,20260318T135620Z,,,,
beta,full_test,,,,,2200,0.4031818181818182,0.1896812694980056,0.0019518783390646,0.1875468623604048,0.0241349840190022,0.5311232707639157,0.0085987473291288,0.5221783289052851,e-commereshippingdata,E-CommereShippingData,business & marketing,2021,10999,10,0.40330939176288755,20260318T135620Z,,,,
haar_gridsearch_best,full_test,,6.0,0.000409491506238,,2200,0.4031818181818182,0.1887557216402303,0.0006738930583111,0.1883154179629202,0.0089575010992779,0.5255707856213853,0.0023342019589356,0.5237563013103579,e-commereshippingdata,E-CommereShippingData,business & marketing,2021,10999,10,0.40330939176288755,20260318T135620Z,6.0,0.000409491506238,1.0,False
uncalibrated_logistic,full_test,,,,,300,0.3033333333333333,0.1867255816648172,0.0301263765043276,0.1587704779811226,0.1430207628791403,0.5693030580391375,0.0902642339165549,0.484601355973442,fitness_club,Fitness_Club,business & marketing,2023,1500,6,0.30266666666666664,20260318T135730Z,,,,
spline_fixed,full_test,,,,5.0,300,0.3033333333333333,0.1704309966744414,0.0160652853284801,0.1541812414165355,0.0740997689030478,0.5173210286051763,0.0398771668458791,0.4758741031639949,fitness_club,Fitness_Club,business & marketing,2023,1500,6,0.30266666666666664,20260318T135730Z,,,,
platt,full_test,,,,,300,0.3033333333333333,0.165653468686268,0.0099365549068379,0.1559353372707406,0.0655330878674363,0.502631988145119,0.0231833353231475,0.4808158930594359,fitness_club,Fitness_Club,business & marketing,2023,1500,6,0.30266666666666664,20260318T135730Z,,,,
isotonic,full_test,,,,,300,0.3033333333333333,0.1718114007649979,0.0107306441059054,0.1609710535203256,0.0819389885054537,0.9399446851194546,0.3599340949811429,0.4922593027479288,fitness_club,Fitness_Club,business & marketing,2023,1500,6,0.30266666666666664,20260318T135730Z,,,,
beta,full_test,,,,,300,0.3033333333333333,0.1716908278566654,0.0187701336462088,0.1530667288221467,0.0895686448243234,0.53632401996024,0.0613370026185525,0.4748776466844687,fitness_club,Fitness_Club,business & marketing,2023,1500,6,0.30266666666666664,20260318T135730Z,,,,
haar_gridsearch_best,full_test,,3.0,5.4286754393238594e-05,,300,0.3033333333333333,0.1711329518700499,0.0245715379742305,0.1469572307457618,0.1053163843448133,0.5374332927463582,0.0840106346513695,0.4514978782469439,fitness_club,Fitness_Club,business & marketing,2023,1500,6,0.30266666666666664,20260318T135730Z,3.0,5.4286754393238594e-05,1.0,False
uncalibrated_logistic,full_test,,,,,30000,0.0668333333333333,0.1845395238548579,0.130957209122084,0.0535314551074399,0.351658769492833,0.5759308111733334,0.356897837403672,0.2019576902775389,givemesomecredit,GiveMeSomeCredit,finance,2011,150000,10,0.06684,20260318T135818Z,,,,
